id,release,n_0047,n_0050,n_0052,n_0061,n_0067,n_0075,n_0078,n_0091,n_0108,n_0109,o_0176,o_0264,c_0466,c_0500,c_0638,c_0699,c_0738,c_0761,c_0770,c_0838,c_0870,c_0980,c_1145,c_1158,c_1189,c_1223,c_1227,c_1244,c_1259,service_a,service_b
8439,b,1,1,1,1,0.9285714285714286,1,0.4666666666666667,1,0.4666666666666667,0.0,369,8,a,a,d,b,a,a,a,a,a,a,b,d,b,c,a,d,m,1,0
6577,a,1,1,1,1,0.9285714285714286,1,0.1,1,0.1,0.0,315,4,c,b,b,c,a,b,b,a,a,c,a,e,b,c,b,b,i,1,0
5469,a,1,1,1,1,0.4285714285714285,1,0.9333333333333332,1,0.9333333333333332,0.0625,154,5,b,h,c,b,a,c,d,b,a,a,c,c,a,a,a,c,e,1,0
3264,a,1,1,1,1,0.1428571428571428,1,0.5666666666666667,1,0.5666666666666667,0.0,58,5,a,a,e,c,a,b,d,a,a,a,c,c,a,c,a,f,n,1,0
17384,a,1,1,1,1,0.7857142857142857,1,0.4333333333333333,1,0.4333333333333333,0.0,332,7,b,a,d,c,a,b,b,a,b,d,b,a,b,c,a,d,b,1,0
7113,a,1,1,1,1,0.5,1,0.4666666666666667,1,0.4666666666666667,0.125,187,5,a,a,b,b,a,b,b,b,a,c,b,c,b,c,a,b,p,0,1
2862,a,1,1,1,1,0.4285714285714285,1,0.0666666666666666,1,0.0666666666666666,0.0,133,4,c,a,b,c,a,b,b,a,b,c,b,e,b,c,a,b,i,1,1
62,a,1,1,1,1,0.1428571428571428,1,0.7,1,0.7,0.125,48,2,c,h,b,b,a,b,d,b,b,a,b,k,a,c,a,b,u,0,0
17424,b,1,1,1,1,0.9285714285714286,1,0.6333333333333333,1,0.6333333333333333,0.0,369,7,b,a,d,c,a,b,b,a,b,c,b,g,b,a,a,d,m,0,0
8370,b,1,1,1,1,0.5714285714285714,1,0.4666666666666667,1,0.4666666666666667,0.0625,222,4,b,h,d,c,a,b,b,b,a,c,a,e,b,c,a,d,B,0,0
11984,b,1,1,1,1,0.2142857142857142,1,0.3,1,0.3,0.1875,59,4,a,c,b,b,a,b,b,b,b,a,b,e,b,c,a,b,m,0,0
5264,c,1,1,1,1,0.7857142857142857,1,0.8333333333333334,1,0.8333333333333334,0.0625,224,4,b,a,d,b,a,b,d,a,b,b,b,e,a,c,b,d,e,0,0
1402,b,1,1,1,1,0.2142857142857142,1,0.9333333333333332,1,0.9333333333333332,0.125,92,1,a,h,d,b,a,b,b,a,a,a,b,i,b,c,a,d,e,0,0
3930,a,1,1,1,1,0.0,1,0.6333333333333333,1,0.6333333333333333,0.125,7,0,b,a,d,c,a,b,d,a,b,a,b,j,a,c,a,d,j,1,1
1917,a,1,1,1,1,0.9285714285714286,1,0.3666666666666665,1,0.3666666666666665,0.0,369,7,b,a,d,c,a,b,b,a,b,c,b,g,b,c,a,d,n,1,1
114,c,1,1,1,1,1.0,1,0.7,1,0.7,0.0,369,7,b,c,d,c,a,b,b,b,b,d,b,h,b,c,a,d,b,0,0
6649,a,1,1,1,1,0.3571428571428571,1,0.2666666666666666,1,0.2666666666666666,0.125,62,5,b,c,b,b,a,c,c,b,b,c,b,c,b,c,a,b,j,1,1
9781,a,1,1,1,1,0.9285714285714286,1,0.6,1,0.6,0.0625,368,7,b,a,b,b,a,b,b,a,b,c,b,g,b,c,a,a,n,1,1
10754,c,1,1,1,1,0.2142857142857142,1,0.6,1,0.6,0.0,69,4,c,d,b,b,a,b,b,b,a,c,c,e,b,a,b,b,d,1,1
1957,a,1,1,1,1,0.4285714285714285,1,0.1,1,0.1,0.0,101,2,c,a,b,c,a,b,b,b,a,c,c,k,b,c,b,b,n,1,1
14977,a,1,1,1,1,0.4285714285714285,1,0.3,1,0.3,0.0625,149,4,b,a,b,c,a,c,c,b,a,c,c,e,b,c,a,b,u,0,0
1276,a,1,1,1,1,0.9285714285714286,1,0.1,1,0.1,0.0,368,4,a,a,b,c,a,b,b,a,b,b,b,e,b,c,b,b,i,0,0
17544,a,1,1,1,1,0.9285714285714286,1,0.8666666666666667,1,0.8666666666666667,0.0625,358,4,c,a,d,b,a,b,b,a,a,b,a,e,b,c,a,d,p,0,1
18094,b,1,1,1,1,0.5714285714285714,1,0.0333333333333333,1,0.0333333333333333,0.0625,222,1,a,f,b,b,a,b,d,a,a,a,b,i,a,c,b,a,b,0,0
11646,c,1,1,1,1,0.1428571428571428,1,0.0333333333333333,1,0.0333333333333333,0.0,43,1,a,f,b,b,b,b,b,b,a,b,c,i,b,c,b,b,a,0,0
12089,a,1,1,1,1,0.9285714285714286,1,0.4666666666666667,1,0.4666666666666667,0.0,369,8,a,b,d,c,a,b,b,a,b,c,b,h,b,c,a,d,n,1,1
14373,a,1,1,1,1,0.4285714285714285,1,0.3666666666666665,1,0.3666666666666665,0.0625,97,4,a,a,b,c,a,b,b,a,b,c,b,e,b,c,a,b,u,0,0
6905,a,1,1,1,1,0.5714285714285714,1,0.3,1,0.3,0.125,141,6,b,a,b,b,a,a,d,a,a,b,c,f,a,c,b,b,j,1,0
14532,a,1,1,1,1,0.0,1,0.0,1,0.0,0.0,10,0,a,f,b,c,b,c,c,b,a,c,c,j,b,c,b,b,n,1,1
13774,c,1,1,1,1,0.7857142857142857,1,0.3,1,0.3,0.0,310,6,a,a,b,c,a,b,b,a,b,b,b,b,b,c,a,a,j,0,1
4573,a,1,1,1,1,0.8571428571428571,1,0.1666666666666666,1,0.1666666666666666,0.0,275,5,a,c,b,b,a,c,c,a,a,c,a,b,b,a,a,b,n,1,0
3016,c,1,1,1,1,0.8571428571428571,1,0.3333333333333333,1,0.3333333333333333,0.0,343,7,a,a,d,c,a,b,b,a,b,c,b,g,b,c,a,d,n,1,0
13585,a,1,1,1,1,0.5,1,0.3,1,0.3,0.0625,181,5,a,a,b,b,a,c,c,a,a,b,a,b,b,c,b,b,u,0,0
15235,a,1,1,1,1,0.8571428571428571,1,0.2,1,0.2,0.0,237,0,a,a,b,c,a,c,d,b,b,a,b,j,a,c,a,b,u,1,0
18039,c,1,1,1,1,0.6428571428571429,1,0.0666666666666666,1,0.0666666666666666,0.0,195,0,a,h,b,c,a,b,b,b,a,b,b,j,b,c,a,b,n,1,1
4291,a,1,1,1,1,0.9285714285714286,1,0.5,1,0.5,0.125,369,4,a,b,d,c,a,b,b,a,a,a,c,e,b,c,a,d,n,0,0
9168,a,1,1,1,1,0.8571428571428571,1,0.2333333333333333,1,0.2333333333333333,0.0,285,7,a,e,b,c,a,b,b,a,b,d,b,g,b,c,a,b,h,0,0
6990,b,1,1,1,1,0.2857142857142857,1,0.9333333333333332,1,0.9333333333333332,0.0,95,0,a,i,d,c,a,b,b,a,b,c,b,j,b,a,a,d,c,0,0
15983,b,1,1,1,1,0.8571428571428571,1,0.9333333333333332,1,0.9333333333333332,0.25,364,1,b,a,d,b,a,b,b,a,b,c,b,i,b,c,a,d,e,0,0
8166,a,1,1,1,1,0.9285714285714286,1,0.6666666666666666,1,0.6666666666666666,0.125,315,5,a,a,d,b,a,b,b,a,b,b,b,c,b,a,a,d,e,0,0
1588,b,1,1,1,1,0.7857142857142857,1,0.8333333333333334,1,0.8333333333333334,0.1875,245,7,b,b,d,b,a,b,b,a,b,a,b,g,b,c,a,d,w,0,0
3678,a,1,1,1,1,0.3571428571428571,1,0.2666666666666666,1,0.2666666666666666,0.0625,120,4,a,a,c,c,a,a,d,a,a,a,c,e,a,c,a,c,h,0,0
8577,a,1,1,1,1,0.7857142857142857,1,0.8666666666666667,1,0.8666666666666667,0.1875,318,4,a,a,d,b,a,b,b,b,b,d,b,e,b,c,a,d,e,0,0
17435,b,1,1,1,1,0.0714285714285714,1,0.7333333333333333,1,0.7333333333333333,0.1875,40,4,a,h,e,b,a,b,b,b,b,c,b,e,b,a,a,f,e,0,0
2377,b,1,1,1,1,0.5714285714285714,1,0.5,1,0.5,0.0,264,6,c,a,b,b,a,b,b,a,a,b,c,h,b,c,a,a,m,1,0
2779,c,1,1,1,1,0.7857142857142857,1,0.2666666666666666,1,0.2666666666666666,0.0,275,7,a,a,b,c,a,b,d,a,b,d,b,g,a,c,a,b,n,0,0
15144,b,1,1,1,1,0.2142857142857142,1,0.1333333333333333,1,0.1333333333333333,0.0,123,5,c,c,b,b,a,a,a,a,b,b,b,c,b,c,b,b,n,1,1
8757,a,1,1,1,1,0.5714285714285714,1,0.3,1,0.3,0.0,180,3,a,a,b,c,a,b,b,a,b,b,b,e,b,c,a,b,n,1,0
12611,b,1,1,1,1,0.6428571428571429,1,0.2,1,0.2,0.0625,203,4,b,h,b,b,a,b,d,b,a,a,b,e,a,c,a,b,p,0,1
6060,a,1,1,1,1,0.9285714285714286,1,0.9666666666666668,1,0.9666666666666668,0.125,329,7,b,a,d,b,a,b,b,a,b,a,b,g,b,a,a,d,e,0,0
4064,c,1,1,1,1,0.6428571428571429,1,0.6,1,0.6,0.125,161,5,b,b,d,b,a,a,a,a,b,a,b,f,b,c,a,d,n,1,1
17686,a,1,1,1,1,0.7142857142857143,1,0.8,1,0.8,0.0,337,6,a,a,b,c,a,b,b,b,b,c,b,f,b,a,b,b,n,1,0
11708,b,1,1,1,1,0.9285714285714286,1,0.1333333333333333,1,0.1333333333333333,0.0,369,4,a,a,b,c,a,b,d,a,a,a,c,e,a,c,a,b,b,1,1
15334,a,1,1,1,1,0.6428571428571429,1,0.1333333333333333,1,0.1333333333333333,0.0,163,5,a,f,b,b,a,b,b,a,b,b,b,c,b,a,b,b,n,1,1
4328,c,1,1,1,1,0.5,1,0.9333333333333332,1,0.9333333333333332,0.1875,114,0,a,a,b,b,a,a,d,b,b,a,b,j,a,c,a,a,n,1,0
13636,a,1,1,1,1,0.5714285714285714,1,0.9666666666666668,1,0.9666666666666668,0.1875,231,1,c,a,d,b,a,b,b,a,b,c,b,i,b,c,a,d,e,0,0
16615,a,1,1,1,1,0.1428571428571428,1,0.5,1,0.5,0.1875,29,4,c,f,d,b,a,b,b,b,a,c,a,e,b,a,b,d,e,0,0
5783,a,1,1,1,1,0.9285714285714286,1,0.6666666666666666,1,0.6666666666666666,0.0625,358,5,b,a,d,c,a,a,d,a,b,a,b,c,a,c,a,d,u,0,0
7449,a,1,1,1,1,0.6428571428571429,1,0.5,1,0.5,0.125,164,5,b,b,d,b,a,b,b,a,b,b,b,c,b,c,a,d,C,0,1
13056,a,1,1,1,1,0.1428571428571428,1,0.3333333333333333,1,0.3333333333333333,0.1875,36,4,c,a,b,c,a,c,c,b,a,c,c,e,b,c,a,b,j,0,1
17687,c,1,1,1,1,0.9285714285714286,1,0.1,1,0.1,0.0,318,4,b,b,b,c,a,a,d,a,a,c,a,e,a,c,a,b,u,0,1
5052,a,1,1,1,1,0.9285714285714286,1,0.6,1,0.6,0.0,369,7,a,a,d,c,a,b,d,a,b,d,b,g,a,c,a,d,B,1,1
519,b,1,1,1,1,0.9285714285714286,1,0.5666666666666667,1,0.5666666666666667,0.1875,352,4,b,g,d,b,a,b,b,a,b,a,b,j,b,c,a,d,c,1,1
16161,c,1,1,1,1,0.2857142857142857,1,0.5,1,0.5,0.0625,86,4,a,a,b,c,a,c,c,b,b,c,b,i,b,a,a,b,p,0,0
13759,c,1,1,1,1,0.5,1,0.5,1,0.5,0.0,174,7,b,a,b,b,a,b,b,a,b,b,b,g,b,c,a,a,u,1,0
4642,a,1,1,1,1,0.5714285714285714,1,0.1,1,0.1,0.0,181,4,b,f,b,c,a,c,c,a,b,c,b,e,b,c,b,b,n,1,0
3950,c,1,1,1,1,1.0,1,0.2333333333333333,1,0.2333333333333333,0.0,369,7,a,a,b,c,a,b,b,a,b,c,b,g,b,c,a,a,n,1,0
14543,c,1,1,1,1,0.7857142857142857,1,0.4333333333333333,1,0.4333333333333333,0.0,230,8,b,a,b,c,a,a,a,a,b,a,b,g,b,c,a,b,h,0,0
10355,a,1,1,1,1,0.2857142857142857,1,0.0333333333333333,1,0.0333333333333333,0.0,75,1,a,f,b,c,a,b,b,b,a,c,c,i,b,c,b,b,n,1,0
1180,a,1,1,1,1,0.5,1,0.0333333333333333,1,0.0333333333333333,0.0,154,1,a,e,b,c,a,b,b,b,a,c,a,i,b,c,b,b,i,1,0
12543,b,1,1,1,1,0.1428571428571428,1,0.1333333333333333,1,0.1333333333333333,0.0,94,5,a,b,b,c,b,b,b,a,b,b,b,b,b,c,b,b,a,1,1
2375,a,1,1,1,1,0.5,1,0.5666666666666667,1,0.5666666666666667,0.125,153,4,c,a,e,b,a,b,b,b,a,a,c,e,b,a,a,f,h,0,0
16055,a,1,1,1,1,0.6428571428571429,1,0.3,1,0.3,0.0,254,5,b,f,d,c,a,b,b,a,b,d,b,g,b,a,b,d,n,1,0
15898,c,1,1,1,1,0.7142857142857143,1,0.3,1,0.3,0.0,266,7,b,a,b,c,a,b,b,b,b,b,b,a,b,c,b,a,q,1,1
2289,a,1,1,1,1,0.0714285714285714,1,0.4666666666666667,1,0.4666666666666667,0.0625,38,3,b,h,b,b,a,c,c,b,a,c,c,e,b,c,a,b,u,0,0
7825,b,1,1,1,1,0.4285714285714285,1,0.5666666666666667,1,0.5666666666666667,0.125,123,4,a,a,d,c,a,b,d,b,b,a,b,k,a,c,a,d,p,1,0
5089,b,1,1,1,1,0.4285714285714285,1,0.2333333333333333,1,0.2333333333333333,0.0625,157,5,c,h,b,c,a,b,b,a,a,c,c,f,b,c,b,a,n,1,0
3751,a,1,1,1,1,0.3571428571428571,1,0.5333333333333333,1,0.5333333333333333,0.25,75,4,a,h,b,b,a,b,d,b,a,a,c,e,a,c,b,b,e,1,1
438,c,1,1,1,1,0.8571428571428571,1,0.3333333333333333,1,0.3333333333333333,0.0,263,6,a,a,b,c,a,c,c,a,b,b,b,b,b,a,b,b,v,0,0
14247,a,1,1,1,1,0.7857142857142857,1,0.7,1,0.7,0.0625,208,4,b,a,b,b,a,b,b,a,b,a,b,e,b,c,a,a,u,0,0
528,a,1,1,1,1,0.4285714285714285,1,0.1,1,0.1,0.0,164,4,c,h,d,c,a,b,b,a,b,c,b,e,b,c,a,d,u,1,0
17380,a,1,1,1,1,0.2857142857142857,1,0.9333333333333332,1,0.9333333333333332,0.1875,83,4,c,a,e,b,a,b,b,b,b,a,b,i,b,c,a,f,e,0,0
13434,b,1,1,1,1,0.7857142857142857,1,0.4666666666666667,1,0.4666666666666667,0.0,355,4,b,a,d,c,a,b,b,a,b,c,b,e,b,c,a,d,n,1,1
5269,a,1,1,1,1,0.4285714285714285,1,0.4666666666666667,1,0.4666666666666667,0.0,164,7,b,b,b,c,a,b,b,a,b,d,b,h,b,c,a,b,p,0,0
5190,a,1,1,1,1,0.2857142857142857,1,0.5,1,0.5,0.1875,57,2,b,h,b,b,a,c,c,b,a,b,c,k,b,c,a,b,i,1,0
6404,b,1,1,1,1,0.8571428571428571,1,0.8333333333333334,1,0.8333333333333334,0.0,369,7,b,b,d,b,a,b,b,a,b,c,b,f,b,c,a,d,w,0,0
4075,a,1,1,1,1,0.6428571428571429,1,0.2,1,0.2,0.0,249,5,b,a,d,c,a,b,b,a,b,d,b,c,b,c,b,d,n,1,1
10197,b,1,1,1,1,0.6428571428571429,1,0.9666666666666668,1,0.9666666666666668,0.0,340,7,a,a,b,b,b,b,b,a,a,d,b,d,b,c,a,b,a,0,0
3763,b,1,1,1,1,0.7142857142857143,1,0.8,1,0.8,0.0,329,0,a,a,d,b,a,b,d,a,b,a,b,j,a,c,a,d,n,0,0
8697,a,1,1,1,1,0.4285714285714285,1,0.3333333333333333,1,0.3333333333333333,0.125,85,0,b,f,b,b,a,c,d,a,a,a,c,j,a,c,b,b,b,1,1
13559,a,1,1,1,1,0.8571428571428571,1,0.6,1,0.6,0.0,369,8,b,a,b,c,a,c,c,a,a,c,c,d,b,c,a,b,u,1,0
1869,c,1,1,1,1,0.6428571428571429,1,0.3333333333333333,1,0.3333333333333333,0.0,232,5,b,a,d,c,a,b,b,a,b,a,b,c,b,c,b,d,b,1,0
5507,b,1,1,1,1,0.7857142857142857,1,0.3666666666666665,1,0.3666666666666665,0.0,369,7,a,a,b,c,a,a,d,a,a,a,c,g,a,c,b,b,n,1,1
7734,a,1,1,1,1,0.4285714285714285,1,0.4333333333333333,1,0.4333333333333333,0.0,149,7,b,h,b,c,a,a,a,a,a,b,c,g,b,c,b,a,n,1,1
16885,a,1,1,1,1,0.6428571428571429,1,0.8333333333333334,1,0.8333333333333334,0.125,226,4,c,a,e,b,a,b,d,a,a,b,b,k,a,c,a,a,w,0,0
1143,a,1,1,1,1,0.4285714285714285,1,0.2333333333333333,1,0.2333333333333333,0.0,149,5,a,f,b,c,a,b,b,a,a,b,c,c,b,a,b,b,p,0,0
10125,a,1,1,1,1,0.2857142857142857,1,0.3,1,0.3,0.125,57,4,b,b,d,b,a,b,d,a,a,c,c,e,a,c,a,d,n,1,1
7661,a,1,1,1,1,0.2142857142857142,1,0.1333333333333333,1,0.1333333333333333,0.0,21,2,b,e,b,b,a,c,c,b,a,b,c,k,b,c,a,b,b,0,0
16062,a,1,1,1,1,0.2857142857142857,1,0.1333333333333333,1,0.1333333333333333,0.0,64,4,c,a,b,c,a,b,b,a,a,c,a,e,b,c,a,b,n,1,0
10524,a,1,1,1,1,0.4285714285714285,1,0.8333333333333334,1,0.8333333333333334,0.125,126,4,c,h,d,b,a,b,b,b,a,b,c,e,b,c,a,d,w,0,0
4742,b,1,1,1,1,0.5714285714285714,1,0.4,1,0.4,0.0,312,5,a,i,b,c,a,b,b,a,a,b,b,c,b,c,a,b,m,1,0
